subject,n_open,n_closed,d_logtr,p_logtr,d_S,p_S,S_open,S_closed,d_plv,plv_open,plv_closed,alpha_ratio_best
S073,15,15,-0.18723,0.000360935,-0.00333115,0.933886,0.843774,0.840443,0.0250512,0.826886,0.851937,1.76017
S074,15,15,0.578902,1.93518e-05,0.0638527,0.0464867,0.891662,0.955515,-0.00497605,0.767,0.762024,11.057
S075,15,15,0.389356,0.00140408,-0.11697,0.0343974,1.15182,1.03485,0.0224595,0.746627,0.769086,3.36415
S076,15,15,-0.0840018,0.383733,-0.0123058,0.506915,0.707859,0.695553,-0.0277556,0.867703,0.839947,2.55005
S077,15,15,0.564357,4.14322e-06,-0.103822,0.000422468,1.04442,0.940599,-0.0424641,0.798913,0.756449,9.84895
S078,15,15,0.908182,1.09922e-05,0.0513176,0.280842,0.843337,0.894654,-0.013389,0.761244,0.747855,19.5333
S079,15,15,0.888933,3.39182e-06,-0.00998213,0.900971,0.849009,0.839027,0.0143508,0.773721,0.788072,12.6698
S080,15,15,0.542886,4.80632e-05,-0.0190786,0.245485,0.986515,0.967437,0.0299886,0.789418,0.819407,11.8053
S081,15,15,-0.10456,0.480731,0.194402,0.00186546,0.539561,0.733963,-0.0463283,0.829727,0.783399,17.5514
S082,15,15,0.410516,0.000160326,-0.00304229,0.506915,1.04736,1.04432,-0.130173,0.831349,0.701176,2.65517
S083,15,15,0.525868,2.79835e-05,-0.0376025,0.0744957,0.827355,0.789753,-0.0190567,0.807544,0.788487,2.3331
S084,15,15,0.193018,0.000905849,-0.0391449,0.158465,1.61969,1.58054,-0.00922138,0.668863,0.659642,2.38253
S085,15,15,0.94425,6.83681e-05,-0.133355,0.00186546,1.30484,1.17148,0.00560334,0.650217,0.655821,25.9063
S086,15,15,0.290678,0.105739,-0.078862,0.089018,0.81697,0.738108,-0.0236596,0.792448,0.768789,2.57176
S087,15,15,0.931631,0.000262169,-0.0585414,0.114987,0.997633,0.939092,0.00178517,0.764498,0.766283,18.2064
S088,15,15,-0.898461,0.0180666,0.361667,0.280842,0.524474,0.886141,-0.0473307,0.806238,0.758908,1.26695
S089,15,15,-0.0631868,0.561447,0.0369126,0.589739,0.787183,0.824096,-0.0131409,0.812836,0.799695,4.91924
S090,15,15,-0.198145,0.158465,0.0498229,0.299758,0.738051,0.787874,0.0154683,0.819544,0.835012,7.22815
S091,15,15,0.0755782,0.803463,0.0674687,0.229029,0.624551,0.69202,-0.00760029,0.857555,0.849954,19.4463
S092,15,15,1.0388,3.39182e-06,0.145003,0.00369059,0.923489,1.06849,-0.0993512,0.77459,0.675239,7.7066
S093,15,15,0.195742,0.0343974,-0.0485771,0.280842,1.26826,1.21968,0.0473636,0.717196,0.76456,3.75123
S094,15,15,-0.43184,0.0744957,0.194287,0.000905849,0.879799,1.07409,-0.0481523,0.696346,0.648194,2.59541
S095,15,15,0.336105,0.00618982,0.0940558,0.0619696,0.771648,0.865704,-0.0798044,0.889439,0.809635,3.79164
S096,15,15,-0.957692,1.60531e-05,0.12331,0.0201914,0.83687,0.96018,0.00122642,0.804502,0.805728,1.24412
S097,15,15,-0.364967,0.00282264,0.135805,0.00479476,0.837766,0.97357,-0.0147804,0.77751,0.762729,3.05756
S098,15,15,0.250296,0.340086,-0.117044,0.00105003,0.986794,0.86975,0.040208,0.745341,0.785549,4.75592
S099,15,15,0.3023,0.00369059,0.0327624,0.198506,0.690928,0.72369,-0.0817503,0.884446,0.802696,1.70796
S100,15,15,0.362377,0.0970911,-0.0578276,0.280842,0.93255,0.874722,0.0676843,0.732624,0.800308,1.47148
S101,15,15,0.138998,0.00618982,-0.0128451,0.383733,1.10408,1.09123,-0.0523472,0.799028,0.74668,1.47497
S102,15,15,0.219857,0.000670903,0.0306257,0.12486,0.774888,0.805514,0.0163359,0.78693,0.803266,2.79016
S103,15,15,0.874368,4.01997e-05,-0.0516525,0.280842,0.913692,0.862039,-0.0662509,0.777006,0.710756,2.50418
S104,15,15,0.305393,0.0343974,0.148554,0.000493689,0.749061,0.897615,-0.0618432,0.806657,0.744814,3.90583
S105,15,15,1.24822,3.39182e-06,-0.00329512,0.406787,0.835891,0.832596,-0.0225735,0.759443,0.736869,12.5816
S106,15,15,0.663713,4.14322e-06,-0.169023,0.000262169,1.16112,0.992095,0.0251811,0.753631,0.778813,9.39958
S107,15,15,0.730025,4.14322e-06,0.266343,2.79835e-05,0.518384,0.784727,-0.132114,0.899248,0.767134,6.95226
S108,15,15,0.445208,0.000422468,0.166509,0.00618982,0.738163,0.904672,-0.0702518,0.796653,0.726401,18.0854
S109,15,15,0.412502,2.329e-05,0.0107076,0.589739,1.11404,1.12475,-0.096826,0.760262,0.663436,13.1328
