patient_id,tier1_auc,tier2_auc,delta_auc,tier2_wins
chb01,0.9640214377397535,0.9987236548541292,0.03470221711437571,True
chb02,0.9727177428914967,0.9614319783610883,-0.011285764530408415,False
chb03,0.973446843887701,0.9933780021805935,0.019931158292892492,True
chb04,0.8504745795870257,0.9520906990724096,0.10161611948538396,True
chb05,0.9738341751347473,0.9972593622683096,0.02342518713356223,True
chb06,0.9799272872528368,0.9743931432451352,-0.005534144007701691,False
chb07,0.9428737069163224,0.9870270834902611,0.044153376573938696,True
chb08,0.9905954954611499,0.9898816660607362,-0.0007138294004136458,False
chb09,0.777793875865928,0.991486388149488,0.21369251228356,True
chb10,0.9854314036854653,0.9874447656298642,0.002013361944398828,True
chb11,0.9689209556287288,0.9910137503325119,0.022092794703783114,True
chb14,0.9707343380067017,0.9705956348664264,-0.00013870314027530917,False
chb15,0.9231162849981581,0.9722827687510914,0.04916648375293331,True
chb17,0.8328443857539237,0.9787098546131555,0.1458654688592318,True
chb18,0.8920782450264587,0.9512172443819593,0.0591389993555006,True
chb19,0.9832270083692186,0.999137733564201,0.015910725194982378,True
chb20,0.962297729947271,0.9887005598976246,0.02640282995035359,True
chb21,0.9470778401632715,0.9897369405653589,0.042659100402087424,True
chb22,0.9710120963211524,0.9981099874899925,0.027097891168840094,True
chb23,0.9679864858821213,0.9992772876923357,0.031290801810214375,True
